No. of Vertices Receiving Hyperedge,Frequency
1,122
2,960
3,2215
4,5293
5,7991
6,7869
7,6435
8,5130
9,4570
10,3793
11,2833
12,2608
13,1908
14,1395
15,1218
16,1189
17,925
18,1058
19,703
20,772
21,396
22,449
23,241
24,220
25,310
26,151
27,68
28,75
29,111
30,87
31,74
32,148
33,111
34,90
35,40
36,55
37,9
38,6
39,11
40,22
41,3
42,0
43,14
44,85
45,14
46,3
47,0
48,4
49,25
50,1
51,2
