58096;86442.0
58101;692912.0
58104;136801.0
58111;21461.0
58114;59115.0
58126;237.0
58128;244487.0
58133;1672.0
58135;504125.0
58137;3862.0
58140;2792.0
58143;52973.0
58145;23359.0
58149;1585.0
58153;230.0
58160;472676.0
58162;345189.0
58167;1228.0
58169;984.0
58180;808.0
58184;325.0
58191;578456.0
58193;452892.0
58195;426.0
58197;595.0
58199;67064.0
58201;23788.0
58208;368696.0
58213;243.0
58216;136.0
58218;217379.0
58221;556869.0
58224;8417.0
58226;268.0
58234;9724.0
58240;25386.0
58241;99249.0
58246;2554.0
58249;348226.0
58252;411736.0
58260;19065.0
58277;72032.0
58280;10820.0
58283;99255.0
58288;85720.0
58301;2918.0
58305;2389.0
